full_journey,nb_parcours
DIRECT_ACCESS-email_tactique-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS-SEO-email_auto-email_tactique-DIRECT_ACCESS-SEO-DIRECT_ACCESS,2
SEO-DIRECT_ACCESS-SEO-AD_EXCHANGE_appnexus-SEO,2
AFFILIATION-AD_EXCHANGE_appnexus-AFFILIATION,2
email_auto-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-SEO-AFFILIATION-REFERRAL,2
SEO-DIRECT_ACCESS-email_tactique,2
SEO-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS,2
email_auto-REFERRAL-AD_EXCHANGE_appnexus-email_auto-REFERRAL,2
SEO-AFFILIATION-SEO-AD_EXCHANGE_appnexus-AFFILIATION-DIRECT_ACCESS-AFFILIATION-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AFFILIATION-AD_EXCHANGE_appnexus-AFFILIATION,2
DIRECT_ACCESS-SEO-DIRECT_ACCESS-email_auto-SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS-email_auto,2
DIRECT_ACCESS-REFERRAL-SEO,2
AD_EXCHANGE_appnexus-email_auto-AD_EXCHANGE_appnexus,2
AFFILIATION-SEO-REFERRAL-DIRECT_ACCESS-SEO,2
SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS-SEO-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS,2
email_auto-SEO-email_auto-DIRECT_ACCESS,2
email_tactique-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-SEO-DIRECT_ACCESS-AFFILIATION-REFERRAL-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-AFFILIATION-REFERRAL-AD_EXCHANGE_appnexus-AFFILIATION-REFERRAL-AFFILIATION,2
DIRECT_ACCESS-REFERRAL-AFFILIATION-REFERRAL,2
DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS,2
SEO-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus,2
AD_EXCHANGE_appnexus-email_auto-SEO-AD_EXCHANGE_appnexus-SEO,2
SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-email_tactique-DIRECT_ACCESS,2
DIRECT_ACCESS-SEO-DIRECT_ACCESS-email_auto-SEO,2
AD_EXCHANGE_appnexus-SEO-REFERRAL-SEO-DIRECT_ACCESS-SEO,2
AD_EXCHANGE_appnexus-REFERRAL-AFFILIATION,2
AD_EXCHANGE_appnexus-email_auto-AD_EXCHANGE_appnexus-email_auto,2
email_auto-DIRECT_ACCESS-SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-SEO,2
DIRECT_ACCESS-AFFILIATION-SEO-DIRECT_ACCESS,2
AFFILIATION-DIRECT_ACCESS-AFFILIATION,2
SEO-DIRECT_ACCESS-AFFILIATION-REFERRAL,2
DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-SEO-AFFILIATION,2
AD_EXCHANGE_appnexus-AFFILIATION-SEO,2
DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus,2
SEO-email_auto-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-email_auto-DIRECT_ACCESS,2
SEO-email_auto-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-SEO,2
SEO-REFERRAL-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO,2
SEA_Bing_HM,2
DIRECT_ACCESS-AFFILIATION-REFERRAL-AFFILIATION-REFERRAL-AFFILIATION-REFERRAL,2
SEO-AD_EXCHANGE_appnexus-SEO-AFFILIATION-REFERRAL,2
DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-SEO-DIRECT_ACCESS-AD_EXCHANGE_appnexus,2
DIRECT_ACCESS-SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS,2
AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-email_auto,2
SEO-AFFILIATION-DIRECT_ACCESS,2
email_auto-email_tactique,2
DIRECT_ACCESS-SEO-AD_EXCHANGE_appnexus,2
SEO-REFERRAL-AFFILIATION-REFERRAL,2
AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-DIRECT_ACCESS-SEO,2
DIRECT_ACCESS-email_auto-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-SEO-email_auto-DIRECT_ACCESS-SEO-DIRECT_ACCESS-email_auto-DIRECT_ACCESS,2
SEO-REFERRAL-AFFILIATION-REFERRAL-AFFILIATION,2
SEO-AD_EXCHANGE_appnexus-SEO-DIRECT_ACCESS-email_auto,2
REFERRAL-SEO-DIRECT_ACCESS-AFFILIATION-REFERRAL,2
SEO-AFFILIATION-REFERRAL-SEO-email_auto-DIRECT_ACCESS-SEO-AFFILIATION-SEO-DIRECT_ACCESS-REFERRAL-SEO,2
email_auto-DIRECT_ACCESS-REFERRAL,2
SEO-DIRECT_ACCESS-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO,2
SEO-DIRECT_ACCESS-SEO-email_auto-SEO,2
email_auto-DIRECT_ACCESS-SEO-email_auto-DIRECT_ACCESS,2
DIRECT_ACCESS-REFERRAL-AFFILIATION,2
AD_EXCHANGE_appnexus-SEO-email_auto-AD_EXCHANGE_appnexus-SEO,2
SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AFFILIATION,2
SEO-AD_EXCHANGE_appnexus-AFFILIATION-SEO-AD_EXCHANGE_appnexus-AFFILIATION-AD_EXCHANGE_appnexus-DIRECT_ACCESS-AFFILIATION,2
DIRECT_ACCESS-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO,2
email_tactique-DIRECT_ACCESS-SEO,2
SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus,2
email_auto-REFERRAL-email_auto,2
SEO-email_auto-DIRECT_ACCESS-email_auto-DIRECT_ACCESS,2
DIRECT_ACCESS-SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS-DISPLAY-email_auto-SEO-DIRECT_ACCESS-AFFILIATION-REFERRAL-AFFILIATION-SEO-DIRECT_ACCESS,2
SEO-AFFILIATION-SEO-DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS,2
DIRECT_ACCESS-email_auto-SEO-email_auto-SEO-DIRECT_ACCESS,2
AD_EXCHANGE_appnexus-SEO-email_auto,2
AD_EXCHANGE_appnexus-email_tactique-SEO-AD_EXCHANGE_appnexus-SEO,2
AD_EXCHANGE_appnexus-DISPLAY-AD_EXCHANGE_appnexus,2
REFERRAL-email_auto-DIRECT_ACCESS,2
DISPLAY-DIRECT_ACCESS,2
SEO-AFFILIATION-SEO-AFFILIATION-SEO,2
SEO-AFFILIATION-REFERRAL-SEO,2
SEO-REFERRAL-SEO-REFERRAL-email_auto-REFERRAL-email_auto-REFERRAL-email_auto-REFERRAL-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO,2
DIRECT_ACCESS-AFFILIATION-REFERRAL-AFFILIATION-REFERRAL-AFFILIATION-REFERRAL-DIRECT_ACCESS-AFFILIATION-REFERRAL,2
REFERRAL-AFFILIATION-DIRECT_ACCESS,2
DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS-email_auto-DIRECT_ACCESS,2
SOCIAL-SEO-AD_EXCHANGE_appnexus,2
REFERRAL-email_auto,2
DIRECT_ACCESS-AD_EXCHANGE_appnexus-email_auto,2
SEO-DIRECT_ACCESS-SEO-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-SEO-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-SEO-DIRECT_ACCESS,2
email_auto-DIRECT_ACCESS-email_auto-DIRECT_ACCESS-SEO-DIRECT_ACCESS,2
SEO-AD_EXCHANGE_appnexus-SEO-email_auto,2
SEO-DIRECT_ACCESS-AFFILIATION,2
email_auto-email_tactique-email_auto-REFERRAL,2
AD_EXCHANGE_appnexus-DIRECT_ACCESS-AFFILIATION,2
AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO,2
AD_EXCHANGE_appnexus-AFFILIATION-DIRECT_ACCESS,2
DIRECT_ACCESS-SEO-email_auto,2
