full_journey,nb_parcours
SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO,4
SEO-SEO-AFFILIATION-AFFILIATION,4
SEO-SEO-SEO-SEO-SEO-SEO-SEO-DIRECT_ACCESS,4
DIRECT_ACCESS-email_auto-email_auto-email_auto,4
email_auto-email_auto-email_auto-email_auto-email_auto-email_auto,4
SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO,4
REFERRAL-REFERRAL-REFERRAL-SEO,4
AD_EXCHANGE_appnexus-email_auto-email_auto,4
DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-SEO-DIRECT_ACCESS,4
SEO-DIRECT_ACCESS-AD_EXCHANGE_appnexus,4
SEA_Google_HM-SEA_Google_M-SEA_Google_M,4
